model,model_label,split,threshold_type,is_recommended,accuracy,precision,recall,fpr,f1,tn,fp,fn,tp,threshold,roc_auc,average_precision
catboost_full,CatBoost Full-Data,val,default_0.5,False,0.9782107470549181,0.9995991665313991,0.9781430355613863,0.018581488712897352,0.9887547144021388,89472,1694,94398,4224500,0.5,,
catboost_full,CatBoost Full-Data,test,default_0.5,False,0.9870646494943118,0.9994232479911508,0.9873655512187651,0.027410566216536366,0.9933578109017419,82106,2314,51310,4009809,0.5,0.9970962118191479,0.9999396330848821
catboost_full,CatBoost Full-Data,ood_attack_holdout,default_0.5,False,0.4995747285237905,1.0,0.4995747285237905,0.0,0.6662885403724844,0,0,222400,222022,0.5,,
catboost_full,CatBoost Full-Data,val,tuned_fpr_cap_0.005,False,0.9708369311647178,0.9998950173066355,0.9703232167094477,0.004826360704648663,0.9848871894633001,90726,440,128171,4190727,0.86,,
catboost_full,CatBoost Full-Data,test,tuned_fpr_cap_0.005,False,0.9840573204111697,0.9996925567719311,0.9840285399172002,0.014558161573086946,0.9917987046145083,83191,1229,64862,3996257,0.86,0.9970962118191479,0.9999396330848821
catboost_full,CatBoost Full-Data,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.4206002403121358,1.0,0.4206002403121358,0.0,0.5921444025938234,0,0,257498,186924,0.86,,
catboost_full,CatBoost Full-Data,val,tuned_fpr_cap_0.010,False,0.9750400447703254,0.9997836435985461,0.9747241078627001,0.009992760458943028,0.9870948537336643,90255,911,109164,4209734,0.69,,
catboost_full,CatBoost Full-Data,test,tuned_fpr_cap_0.010,False,0.9859726322680838,0.9995666976168369,0.9861085085169876,0.020563847429519073,0.9927919956953521,82684,1736,56415,4004704,0.69,0.9970962118191479,0.9999396330848821
catboost_full,CatBoost Full-Data,ood_attack_holdout,tuned_fpr_cap_0.010,False,0.4712390475719024,1.0,0.4712390475719024,0.0,0.6406016049528104,0,0,234993,209429,0.69,,
catboost_full,CatBoost Full-Data,val,tuned_fpr_cap_0.020,True,0.9785186790939996,0.9995709344262915,0.978485252488019,0.019897768905074262,0.9889157088884702,89352,1814,92920,4225978,0.475,,
catboost_full,CatBoost Full-Data,test,tuned_fpr_cap_0.020,True,0.987167651781831,0.999403395710131,0.9874903936575117,0.028358208955223882,0.9934111807421238,82026,2394,50803,4010316,0.475,0.9970962118191479,0.9999396330848821
catboost_full,CatBoost Full-Data,ood_attack_holdout,tuned_fpr_cap_0.020,True,0.5039489494219458,1.0,0.5039489494219458,0.0,0.6701676271866042,0,0,220456,223966,0.475,,
catboost_full,CatBoost Full-Data,val,tuned_fpr_cap_0.050,False,0.9820959514419746,0.9989338667921864,0.9827669002602053,0.04968957725467828,0.9907844374431161,86636,4530,74428,4244470,0.1975,,
catboost_full,CatBoost Full-Data,test,tuned_fpr_cap_0.050,False,0.9898196591565054,0.9988882466970151,0.9907106883595383,0.05304430229803364,0.9947826620155715,79942,4478,37725,4023394,0.1975,0.9970962118191479,0.9999396330848821
catboost_full,CatBoost Full-Data,ood_attack_holdout,tuned_fpr_cap_0.050,False,0.5573283950839517,1.0,0.5573283950839517,0.0,0.7157493523437714,0,0,196733,247689,0.1975,,
random_forest_8m,Random Forest 8M,val,default_0.5,False,0.9772690373654441,0.99926601031278,0.9775072252227305,0.0340148739661716,0.9882668658609396,88065,3101,97144,4221754,0.5,,
random_forest_8m,Random Forest 8M,test,default_0.5,False,0.9883949951984531,0.9991539405325424,0.9889912115355398,0.040286661928452976,0.9940466018086282,81019,3401,44708,4016411,0.5,0.9963495547155474,0.9999238097639407
random_forest_8m,Random Forest 8M,ood_attack_holdout,default_0.5,False,0.5088159452052329,1.0,0.5088159452052329,0.0,0.6744572746890244,0,0,218293,226129,0.5,,
random_forest_8m,Random Forest 8M,val,tuned_fpr_cap_0.005,False,0.9663871091213189,0.9998926060976244,0.9657813173638276,0.0049141127174604565,0.9825409868985852,90718,448,147787,4171111,0.8375,,
random_forest_8m,Random Forest 8M,test,tuned_fpr_cap_0.005,False,0.9828256349777436,0.9997339710013362,0.9827301293067255,0.01257995735607676,0.9911591281191929,83358,1062,70135,3990984,0.8375,0.9963495547155474,0.9999238097639407
random_forest_8m,Random Forest 8M,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.406314268870578,1.0,0.406314268870578,0.0,0.5778427736453136,0,0,263847,180575,0.8375,,
random_forest_8m,Random Forest 8M,val,tuned_fpr_cap_0.010,False,0.9704920382107833,0.9997866630521883,0.9700761629471222,0.009806287431717966,0.9847073583586816,90272,894,129238,4189660,0.74,,
random_forest_8m,Random Forest 8M,test,tuned_fpr_cap_0.010,False,0.9847433590662155,0.9995978595832635,0.9848224097841014,0.01905946458185264,0.9921551277075551,82811,1609,61638,3999481,0.74,0.9963495547155474,0.9999238097639407
