model,model_label,split,threshold_type,is_recommended,accuracy,precision,recall,fpr,f1,tn,fp,fn,tp,threshold,roc_auc,average_precision
catboost,CatBoost,val,default_0.5,False,0.9668889158978192,0.9998897885761546,0.9662964950781426,0.005045740736678147,0.9828061625674962,90706,460,145562,4173336,0.5,,
catboost,CatBoost,test,default_0.5,False,0.9823265442684292,0.9997325805823427,0.9822218949998757,0.012639185027244728,0.9908998838172046,83353,1067,72199,3988920,0.5,0.9963147601462962,0.9999238017307129
catboost,CatBoost,ood_attack_holdout,default_0.5,False,0.4003537178627521,1.0,0.4003537178627521,0.0,0.5717894168535932,0,0,266496,177926,0.5,,
catboost,CatBoost,val,tuned_fpr_cap_0.005,False,0.9667846090215471,0.9998912138142162,0.9661885971838187,0.004979926727069302,0.9827510397161073,90712,454,146028,4172870,0.505,,
catboost,CatBoost,test,tuned_fpr_cap_0.005,False,0.9822739576204687,0.9997345700347866,0.982166245313176,0.012544420753375977,0.9908725415085472,83361,1059,72425,3988694,0.505,0.9963147601462962,0.9999238017307129
catboost,CatBoost,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.3999149457047581,1.0,0.3999149457047581,0.0,0.5713417760583007,0,0,266691,177731,0.505,,
catboost,CatBoost,val,tuned_fpr_cap_0.010,False,0.9703893186130632,0.9997835387805668,0.9699742851069879,0.009948884452537131,0.9846533533512948,90259,907,129678,4189220,0.34,,
catboost,CatBoost,test,tuned_fpr_cap_0.010,False,0.9839263362375797,0.9996330132017684,0.9839534374639108,0.017377398720682304,0.9917312544781697,82953,1467,65167,3995952,0.34,0.9963147601462962,0.9999238017307129
catboost,CatBoost,ood_attack_holdout,tuned_fpr_cap_0.010,False,0.4180666123639244,1.0,0.4180666123639244,0.0,0.5896290184380057,0,0,258624,185798,0.34,,
catboost,CatBoost,val,tuned_fpr_cap_0.020,True,0.9736071857460572,0.9995680122715898,0.9734707788885035,0.01993067590987868,0.9863468025237664,89349,1817,114577,4204321,0.2275,,
catboost,CatBoost,test,tuned_fpr_cap_0.020,True,0.9861359403445487,0.9994530977695022,0.9863874956631411,0.025965411040037904,0.9928773149284162,82228,2192,55282,4005837,0.2275,0.9963147601462962,0.9999238017307129
catboost,CatBoost,ood_attack_holdout,tuned_fpr_cap_0.020,True,0.4446922069564513,1.0,0.4446922069564513,0.0,0.6156220748131385,0,0,246791,197631,0.2275,,
catboost,CatBoost,val,tuned_fpr_cap_0.050,False,0.9777919322712777,0.9989463040616113,0.9783551267013021,0.04888884013777066,0.9885434994106169,86709,4457,93482,4225416,0.125,,
catboost,CatBoost,test,tuned_fpr_cap_0.050,False,0.9881781355814044,0.9988848764224727,0.9890365192450652,0.0531153755034352,0.9939363029710482,79936,4484,44524,4016595,0.125,0.9963147601462962,0.9999238017307129
catboost,CatBoost,ood_attack_holdout,tuned_fpr_cap_0.050,False,0.5251225186871937,1.0,0.5251225186871937,0.0,0.6886299457950599,0,0,211046,233376,0.125,,
random_forest,Random Forest,val,default_0.5,False,0.9658864361152129,0.9998285324415421,0.9653318971645082,0.007842836145054077,0.9822774359999543,90451,715,149728,4169170,0.5,,
random_forest,Random Forest,test,default_0.5,False,0.9825086677510452,0.99967628718438,0.9824632078006087,0.015304430229803365,0.9909950075202013,83128,1292,71219,3989900,0.5,0.996012454077937,0.9999171926229865
random_forest,Random Forest,ood_attack_holdout,default_0.5,False,0.4003537178627521,1.0,0.4003537178627521,0.0,0.5717894168535932,0,0,266496,177926,0.5,,
random_forest,Random Forest,val,tuned_fpr_cap_0.005,False,0.9630064325597089,0.999891018269476,0.9623304370698266,0.004968957725467828,0.980751237853602,90713,453,162691,4156207,0.57,,
random_forest,Random Forest,test,tuned_fpr_cap_0.005,False,0.9812511714399502,0.9997561060677649,0.9811007754266743,0.011513859275053304,0.9903405945821131,83448,972,76752,3984367,0.57,0.996012454077937,0.9999171926229865
random_forest,Random Forest,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.3914050159533056,1.0,0.3914050159533056,0.0,0.5626040030984636,0,0,270473,173949,0.57,,
random_forest,Random Forest,val,tuned_fpr_cap_0.010,False,0.9673279117944774,0.9997830783905853,0.966848024658142,0.009937915450935655,0.9830397708345644,90260,906,143180,4175718,0.4475,,
random_forest,Random Forest,test,tuned_fpr_cap_0.010,False,0.9832817879653285,0.9996252634983367,0.9833028778521388,0.01773276474769012,0.9913968921760205,82923,1497,67809,3993310,0.4475,0.996012454077937,0.9999171926229865
random_forest,Random Forest,ood_attack_holdout,tuned_fpr_cap_0.010,False,0.4089266507958652,1.0,0.4089266507958652,0.0,0.58047968723549,0,0,262686,181736,0.4475,,
random_forest,Random Forest,val,tuned_fpr_cap_0.020,True,0.9714981460586513,0.9995691975279373,0.9713151364074817,0.019831954895465416,0.9852396457045249,89358,1808,123887,4195011,0.325,,
random_forest,Random Forest,test,tuned_fpr_cap_0.020,True,0.9858932698498314,0.9994048523622121,0.9861873045335534,0.028251599147121536,0.9927520856344553,82035,2385,56095,4005024,0.325,0.996012454077937,0.9999171926229865
random_forest,Random Forest,ood_attack_holdout,tuned_fpr_cap_0.020,True,0.44643829513390426,1.0,0.44643829513390426,0.0,0.6172932459487671,0,0,246015,198407,0.325,,
random_forest,Random Forest,val,tuned_fpr_cap_0.050,False,0.9775327523591494,0.9989427155680226,0.9780937174251395,0.0490424061601913,0.9884082840956632,86695,4471,94611,4224287,0.1925,,
random_forest,Random Forest,test,tuned_fpr_cap_0.050,False,0.9881506361416452,0.9989059377560905,0.9889875179722634,0.05210850509357972,0.9939219843220306,80021,4399,44723,4016396,0.1925,0.996012454077937,0.9999171926229865
random_forest,Random Forest,ood_attack_holdout,tuned_fpr_cap_0.050,False,0.518799699384819,1.0,0.518799699384819,0.0,0.6831706637747634,0,0,213856,230566,0.1925,,
hist_gb,HistGradientBoosting,val,default_0.5,False,0.9669900482169873,0.9997971265259822,0.9664893683527603,0.009290744356448676,0.9828611403411901,90319,847,144729,4174169,0.5,,
hist_gb,HistGradientBoosting,test,default_0.5,False,0.9824408840442702,0.9996940439298792,0.9823765321823862,0.014463397299218195,0.990959635802187,83199,1221,71571,3989548,0.5,0.9965383978627221,0.9999282795288228
hist_gb,HistGradientBoosting,ood_attack_holdout,default_0.5,False,0.3972103091206106,1.0,0.3972103091206106,0.0,0.5685762644717538,0,0,267893,176529,0.5,,
hist_gb,HistGradientBoosting,val,tuned_fpr_cap_0.005,False,0.9653079864600604,0.9998915236795168,0.9646803420687406,0.004957988723866354,0.981970386435731,90714,452,152542,4166356,0.575,,
hist_gb,HistGradientBoosting,test,tuned_fpr_cap_0.005,False,0.9815891250812018,0.999758448168696,0.9814435380987359,0.01140724946695096,0.9905163384813392,83457,963,75360,3985759,0.575,0.9965383978627221,0.9999282795288228
hist_gb,HistGradientBoosting,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.3868665367601064,1.0,0.3868665367601064,0.0,0.5579001677607349,0,0,272490,171932,0.575,,
hist_gb,HistGradientBoosting,val,tuned_fpr_cap_0.010,False,0.9669900482169873,0.9997971265259822,0.9664893683527603,0.009290744356448676,0.9828611403411901,90319,847,144729,4174169,0.5,,
hist_gb,HistGradientBoosting,test,tuned_fpr_cap_0.010,False,0.9824408840442702,0.9996940439298792,0.9823765321823862,0.014463397299218195,0.990959635802187,83199,1221,71571,3989548,0.5,0.9965383978627221,0.9999282795288228
hist_gb,HistGradientBoosting,ood_attack_holdout,tuned_fpr_cap_0.010,False,0.3972103091206106,1.0,0.3972103091206106,0.0,0.5685762644717538,0,0,267893,176529,0.5,,
hist_gb,HistGradientBoosting,val,tuned_fpr_cap_0.020,True,0.9727017567091997,0.9995664129476424,0.9725473951920143,0.019985520917886055,0.9858718165466169,89344,1822,118565,4200333,0.3,,
hist_gb,HistGradientBoosting,test,tuned_fpr_cap_0.020,True,0.9857753117266537,0.999485307295507,0.9859873596415175,0.024425491589670695,0.9926904515498378,82358,2062,56907,4004212,0.3,0.9965383978627221,0.9999282795288228
hist_gb,HistGradientBoosting,ood_attack_holdout,tuned_fpr_cap_0.020,True,0.44827888808384825,1.0,0.44827888808384825,0.0,0.6190505043913823,0,0,245197,199225,0.3,,
hist_gb,HistGradientBoosting,val,tuned_fpr_cap_0.050,False,0.9787925980212532,0.9989384469254164,0.979385713670478,0.04930566219862668,0.9890654557443593,86671,4495,89031,4229867,0.14,,
hist_gb,HistGradientBoosting,test,tuned_fpr_cap_0.050,False,0.9884384153664939,0.9988817026363276,0.9893056568891481,0.05328121298270552,0.9940706183918584,79922,4498,43431,4017688,0.14,0.9965383978627221,0.9999282795288228
hist_gb,HistGradientBoosting,ood_attack_holdout,tuned_fpr_cap_0.050,False,0.5276493962945129,1.0,0.5276493962945129,0.0,0.6907990767703459,0,0,209923,234499,0.14,,
