model,model_label,selection_type,threshold,val_f1,val_recall,val_fpr
catboost,CatBoost,fpr_cap_0.005,0.505,0.9827510397161073,0.9661885971838187,0.004979926727069302
catboost,CatBoost,fpr_cap_0.010,0.34,0.9846533533512948,0.9699742851069879,0.009948884452537131
catboost,CatBoost,fpr_cap_0.020,0.2275,0.9863468025237664,0.9734707788885035,0.01993067590987868
catboost,CatBoost,fpr_cap_0.050,0.125,0.9885434994106169,0.9783551267013021,0.04888884013777066
random_forest,Random Forest,fpr_cap_0.005,0.57,0.980751237853602,0.9623304370698266,0.004968957725467828
random_forest,Random Forest,fpr_cap_0.010,0.4475,0.9830397708345644,0.966848024658142,0.009937915450935655
random_forest,Random Forest,fpr_cap_0.020,0.325,0.9852396457045249,0.9713151364074817,0.019831954895465416
random_forest,Random Forest,fpr_cap_0.050,0.1925,0.9884082840956632,0.9780937174251395,0.0490424061601913
hist_gb,HistGradientBoosting,fpr_cap_0.005,0.575,0.981970386435731,0.9646803420687406,0.004957988723866354
hist_gb,HistGradientBoosting,fpr_cap_0.010,0.5,0.9828611403411901,0.9664893683527603,0.009290744356448676
hist_gb,HistGradientBoosting,fpr_cap_0.020,0.3,0.9858718165466169,0.9725473951920143,0.019985520917886055
hist_gb,HistGradientBoosting,fpr_cap_0.050,0.14,0.9890654557443593,0.979385713670478,0.04930566219862668
